alpha,attack_type,system,accuracy,seed
0.5,sign_flipping,BestFixedRule,0.8839,42
0.5,gaussian_noise,BestFixedRule,0.8939,42
0.5,label_flipping,BestFixedRule,0.8852,42
0.1,fltrust_aligned,BestFixedRule,0.8946999999999999,42
0.1,low_mag_backdoor,BestFixedRule,0.8307999999999998,42
0.1,gaussian_noise,BestFixedRule,0.8055,42
0.05,fltrust_aligned,BestFixedRule,0.8966999999999998,42
0.05,low_mag_backdoor,BestFixedRule,0.7645000000000001,42
0.05,gaussian_noise,BestFixedRule,0.7415,42
0.5,fltrust_aligned,BestFixedRule,0.9000000000000001,43
0.5,trim_attack,BestFixedRule,0.8687999999999999,43
0.5,krum_collusion,BestFixedRule,0.8437999999999999,43
0.5,low_mag_backdoor,BestFixedRule,0.8989,43
0.5,sign_flipping,BestFixedRule,0.8855999999999999,43
0.5,gaussian_noise,BestFixedRule,0.8945000000000001,43
0.5,label_flipping,BestFixedRule,0.8868,43
0.1,fltrust_aligned,BestFixedRule,0.8948,43
0.1,low_mag_backdoor,BestFixedRule,0.8319000000000001,43
0.1,gaussian_noise,BestFixedRule,0.7979,43
0.05,fltrust_aligned,BestFixedRule,0.8951,43
0.05,low_mag_backdoor,BestFixedRule,0.7642000000000001,43
0.05,gaussian_noise,BestFixedRule,0.7386999999999999,43
0.5,fltrust_aligned,BestFixedRule,0.9000000000000001,44
0.5,trim_attack,BestFixedRule,0.8695999999999999,44
0.5,krum_collusion,BestFixedRule,0.8872,44
0.5,low_mag_backdoor,BestFixedRule,0.8984,44
0.5,sign_flipping,BestFixedRule,0.8849,44
0.5,gaussian_noise,BestFixedRule,0.8958999999999999,44
0.5,label_flipping,BestFixedRule,0.8866000000000002,44
0.1,fltrust_aligned,BestFixedRule,0.8943999999999999,44
0.1,low_mag_backdoor,BestFixedRule,0.8312999999999999,44
0.1,gaussian_noise,BestFixedRule,0.8091000000000002,44
0.05,fltrust_aligned,BestFixedRule,0.8964000000000001,44
0.05,low_mag_backdoor,BestFixedRule,0.7651000000000001,44
0.05,gaussian_noise,BestFixedRule,0.7321,44
0.5,fltrust_aligned,BestFixedRule,0.8999000000000003,45
0.5,trim_attack,BestFixedRule,0.8688,45
0.5,krum_collusion,BestFixedRule,0.8880000000000001,45
0.5,low_mag_backdoor,BestFixedRule,0.8992000000000001,45
0.5,sign_flipping,BestFixedRule,0.8838000000000001,45
0.5,gaussian_noise,BestFixedRule,0.8942,45
0.5,label_flipping,BestFixedRule,0.8854,45
0.1,fltrust_aligned,BestFixedRule,0.8939999999999999,45
0.1,low_mag_backdoor,BestFixedRule,0.8316000000000001,45
