alpha,attack_type,system_b,variant_b,accuracy_b,seed,system_a,variant_a,accuracy_a,delta_b_minus_a
0.5,low_mag_backdoor,FedStrategist,b,0.8406,51,FedStrategist,a,0.8962999999999999,-0.05569999999999986
0.5,sign_flipping,FedStrategist,b,0.8305,51,FedStrategist,a,0.8022,0.028299999999999992
0.5,gaussian_noise,FedStrategist,b,0.7913000000000001,51,FedStrategist,a,0.7596,0.03170000000000006
0.5,label_flipping,FedStrategist,b,0.8792,51,FedStrategist,a,0.8773,0.0019000000000000128
0.1,fltrust_aligned,FedStrategist,b,0.7493,51,FedStrategist,a,0.7479,0.0013999999999999568
0.1,trim_attack,FedStrategist,b,0.4599,51,FedStrategist,a,0.4582,0.0016999999999999793
0.1,krum_collusion,FedStrategist,b,0.6321999999999999,51,FedStrategist,a,0.5932999999999999,0.038899999999999935
0.1,low_mag_backdoor,FedStrategist,b,0.853,51,FedStrategist,a,0.8507999999999999,0.0022000000000000908
0.1,sign_flipping,FedStrategist,b,0.6156999999999999,51,FedStrategist,a,0.6128,0.0028999999999999027
0.1,gaussian_noise,FedStrategist,b,0.6212,51,FedStrategist,a,0.6344,-0.01319999999999999
0.1,label_flipping,FedStrategist,b,0.7447,51,FedStrategist,a,0.7434999999999999,0.0012000000000000899
0.05,fltrust_aligned,FedStrategist,b,0.7482,51,FedStrategist,a,0.741,0.007199999999999984
0.05,trim_attack,FedStrategist,b,0.5452,51,FedStrategist,a,0.5909,-0.04569999999999996
0.05,krum_collusion,FedStrategist,b,0.6822000000000001,51,FedStrategist,a,0.6821,0.00010000000000010001
0.05,low_mag_backdoor,FedStrategist,b,0.7213,51,FedStrategist,a,0.7359,-0.014599999999999946
0.05,sign_flipping,FedStrategist,b,0.5496,51,FedStrategist,a,0.5243,0.02529999999999999
0.05,gaussian_noise,FedStrategist,b,0.566,51,FedStrategist,a,0.3987,0.16729999999999995
0.05,label_flipping,FedStrategist,b,0.7018000000000001,51,FedStrategist,a,0.6719000000000002,0.029899999999999927
